Stations_ID;Datum;Qualitaet;Min_5cm;Min_2m;Mittel_2m;Max_2m;Relative_Feuchte;Mittel_Windstaerke;Max_Windgeschwindigkeit;Sonnenscheindauer;Mittel_Bedeckungsgrad;Niederschlagshoehe;Mittel_Luftdruck
102.00;17.06.2016;3.00;;14.00;15,2;16.00;86,42;6,3;10.00;7233.00;;;1001,06
102.00;18.06.2016;3.00;;13,9;14,4;14,9;79,29;7,1;11,8;6033.00;;;1009,45
102.00;19.06.2016;3.00;;12,7;13,5;14,3;67,21;7,1;12,4;4,4;;;1017,52
102.00;20.06.2016;3.00;;14,2;15,4;17,8;81,04;11.00;17,6;3,9;;;1011,45
102.00;21.06.2016;3.00;;13.00;16,1;19,4;82,58;4,4;11,7;9217.00;;;1013,5
102.00;22.06.2016;3.00;;16,8;18.00;20,3;84,5;4,4;9,6;11367.00;;;1017,65
102.00;23.06.2016;3.00;;18,1;20,1;24.00;80,83;6,3;12,3;7867.00;;;1014,63
102.00;24.06.2016;3.00;;13,8;17,7;20,5;94,38;6,7;14,4;1217.00;;;1012,76
102.00;25.06.2016;3.00;;13,9;15,2;16,5;89,92;7,3;16,1;0,2;;;1010,74
102.00;26.06.2016;3.00;;13,8;15.00;17.00;81,5;7,6;15,4;7767.00;;;1010,49
102.00;27.06.2016;3.00;;13,3;15.00;17,1;84,38;9,4;17,1;3833.00;;;1011,11
102.00;28.06.2016;3.00;;14,2;16,3;19,8;65,83;5,5;13,4;8317.00;;;1012,1
102.00;29.06.2016;3.00;;14,6;16.00;17,8;75,88;7,5;17,6;8183.00;;;1005,19
102.00;30.06.2016;3.00;;14,5;15,7;17,2;84,75;7,3;15,4;1067.00;;;1005,83
102.00;01.07.2016;3.00;;15,3;16,8;18,4;87,83;9,1;15,2;0,8;;;1005,35
102.00;02.07.2016;3.00;;12,8;15,1;16,6;73,79;9,9;17,9;7867.00;;;1006,5
102.00;03.07.2016;;;;14,5;;73,52;9,1;;;;;1012,82
102.00;04.07.2016;3.00;;14,3;16,1;21,5;76,78;4,3;10,1;9,35;;;1015,09
102.00;05.07.2016;3.00;;13,2;16,1;18.00;81,38;11,7;28,4;2283.00;;;1006,9
102.00;06.07.2016;3.00;;11,8;14,7;15,3;70,17;13,9;22,3;10,7;;;1013,02
102.00;07.07.2016;3.00;;14,3;16,3;18,3;71,75;5,9;12,3;6,25;;;1015,27
102.00;08.07.2016;3.00;;15,7;16,7;18,5;80,25;8,7;22,5;2,75;;;1008,82
102.00;09.07.2016;3.00;;15,5;16,5;17,3;83,57;8,4;14,8;8,95;;;1011,76
102.00;10.07.2016;3.00;;17,2;19,1;23,2;81,96;7.00;11,7;7483.00;;;1005,5
102.00;11.07.2016;3.00;;16,9;18,1;19,2;76,38;11,6;18,7;3967.00;;;1002,36
102.00;12.07.2016;3.00;;15,9;16,6;17,6;80,29;8,8;14,9;9033.00;;;1005,95
102.00;13.07.2016;3.00;;14,2;15,5;16.00;73,33;4,7;10,4;7083.00;;;1009,25
102.00;14.07.2016;3.00;;13,3;15.00;15,8;76,39;11,8;20,3;3117.00;;;1012,34
102.00;15.07.2016;3.00;;13,1;15,3;16,1;71,67;11,5;20,3;6417.00;;;1017,51
102.00;16.07.2016;3.00;;14,9;16,6;18,1;88,83;8,9;12,9;0.00;;;1017,13
102.00;17.07.2016;3.00;;16,3;16,8;17,3;82,46;6,9;12,3;5633.00;;;1015,44
102.00;18.07.2016;3.00;;16,3;17,2;18,1;78,58;7,4;10,8;10533.00;;;1016,43
102.00;19.07.2016;3.00;;17,4;18,8;22,5;81,42;4,5;7.00;13217.00;;;1017,63
102.00;20.07.2016;3.00;;18,6;23,1;28,4;69,5;7,3;18,9;14,15;;;1011,9
102.00;21.07.2016;3.00;;18,6;20,2;23,8;82,5;4,5;8,7;14,45;;;1010,15
102.00;22.07.2016;3.00;;17,2;17,9;18,7;96.00;4,3;7,2;0,767;;;1013,49
102.00;23.07.2016;3.00;;17,3;18,1;19,1;99,21;3,1;6,1;1,3;;;1015,24
102.00;24.07.2016;3.00;;16,7;18,1;20.00;95,21;3,7;6,3;7317.00;;;1015,37
102.00;25.07.2016;3.00;;17,5;19,3;21,3;86,46;3,9;10,8;2833.00;;;1014,04
102.00;26.07.2016;3.00;;17,1;18,1;19,1;74,88;3,4;7,9;6933.00;;;1016,23
102.00;27.07.2016;3.00;;17,3;19.00;21,2;77,33;5,6;13,7;2,55;;;1011,47
102.00;28.07.2016;3.00;;16,7;18,5;23.00;70,25;4,5;8,9;10017.00;;;1010,13
102.00;29.07.2016;3.00;;17,2;18,1;20,4;85,33;5,7;12,3;3433.00;;;1006,01
102.00;30.07.2016;3.00;;16,4;17,4;18.00;79.00;6,5;11,4;9,75;;;1007,24
102.00;31.07.2016;3.00;;14,8;17,2;18.00;72,29;3,8;15,2;4,75;;;1009,16
102.00;01.08.2016;3.00;;14,2;16,5;17,5;69,5;8,1;18,5;7033.00;;;1011,92
102.00;02.08.2016;3.00;;15.00;17,5;20,1;70,08;5,1;9,6;12433.00;;;1009,78
102.00;03.08.2016;3.00;;16,3;18,6;20,6;89,5;9,2;15,6;1133.00;;;1002,9
102.00;04.08.2016;3.00;;16,3;17,7;19,1;80,25;10,7;17,1;7,3;;;1003,64
102.00;05.08.2016;3.00;;15,9;17,3;18,1;81,21;9,6;14,4;11,45;;;1011,23
102.00;06.08.2016;3.00;;16,1;17,3;18,2;71,92;8,8;16,5;10433.00;;;1018,85
102.00;07.08.2016;3.00;;15.00;18,3;21,3;77,88;10,2;16,4;3333.00;;;1017,58
102.00;08.08.2016;3.00;;14,3;17.00;19,2;75,54;13,3;21,1;3317.00;;;1011,4
102.00;09.08.2016;3.00;;12,2;14,5;16,2;64,08;10,9;21,9;4867.00;;;1014,28
102.00;10.08.2016;3.00;;11,5;13,9;15,3;61,29;9,9;19,7;7,8;;;1014,86
102.00;11.08.2016;3.00;;11.00;13,5;15,3;84,21;9,9;16,2;0.00;;;1013,68
102.00;12.08.2016;3.00;;14,7;17.00;18,2;90,54;8,9;17,6;1583.00;;;1014,29
102.00;13.08.2016;3.00;;15,9;16,9;18.00;86,67;10,4;18,3;0,4;;;1014,46
102.00;14.08.2016;3.00;;15,7;16,7;17,8;74,96;6,7;11,4;7817.00;;;1018,73
102.00;15.08.2016;3.00;;15,8;16,3;16,7;71,46;4,3;7.00;9,4;;;1020,81
102.00;16.08.2016;3.00;;15,5;16,6;18,2;75,71;3,8;7,9;10,45;;;1016,92
102.00;17.08.2016;3.00;;15,6;17,1;20,7;69,21;3,9;6,5;13733.00;;;1012,74
102.00;18.08.2016;3.00;;15,7;16,9;18,2;79,58;4,5;8,9;11583.00;;;1007,95
102.00;19.08.2016;3.00;;16,7;18,8;21,9;70,54;4.00;9,4;11933.00;;;1006,87
102.00;20.08.2016;3.00;;14,9;18.00;19,9;77,71;6,8;14,6;4133.00;;;1006,12
102.00;21.08.2016;3.00;;15,4;17,2;19.00;77,7;9,6;15.00;6033.00;;;1009,53
102.00;22.08.2016;3.00;;15,6;17,1;18,7;92,25;9,3;13,8;0,4;;;1017,15
102.00;23.08.2016;3.00;;17,7;18,9;23.00;90,83;5.00;11,8;9,05;;;1021,67
102.00;24.08.2016;3.00;;18,7;23.00;28,3;70,04;7,1;10.00;13467.00;;;1018,84
102.00;25.08.2016;3.00;;20.00;24,6;30,2;61,71;7,1;10,7;13,65;;;1013,03
102.00;26.08.2016;3.00;;18,1;20,2;23,7;79,33;6,9;12,7;10,9;;;1012,34
102.00;27.08.2016;3.00;;17,9;19.00;21,1;77.00;5,9;24,5;12333.00;;;1016,02
102.00;28.08.2016;3.00;;17,8;19,7;23.00;83,5;9,4;19,2;5467.00;;;1007,77
102.00;29.08.2016;3.00;;16,5;17,4;18,8;73,08;10,2;15,9;7567.00;;;1013,17
102.00;30.08.2016;3.00;;15,5;17,7;19,2;76,83;6,1;10,7;12783.00;;;1020,86
102.00;31.08.2016;3.00;;17,4;19,7;23,5;65,13;4,2;8,6;12533.00;;;1016,8
102.00;01.09.2016;3.00;;16,9;18.00;19,4;78,38;6,7;10,4;8433.00;;;1016,49
102.00;02.09.2016;3.00;;15,8;17,7;20.00;77,5;8,3;14,7;1567.00;;;1014,13
102.00;03.09.2016;3.00;;16,1;17,5;18,7;80,67;6,5;12,1;5,35;;;1010,89
102.00;04.09.2016;3.00;;15,5;17,4;19,1;86,75;9.00;17,3;0,95;;;1003,25
102.00;05.09.2016;3.00;;16,2;17,5;18,6;78,88;4,9;12,4;8717.00;;;1013,89
102.00;06.09.2016;3.00;;16,1;19,3;22,5;78,54;5,2;7,8;12083.00;;;1021,64
102.00;07.09.2016;3.00;;18.00;20,5;24,2;71,83;4,2;7,8;11,75;;;1017,48
102.00;08.09.2016;3.00;;17,6;21.00;26.00;74,75;6.00;10,5;11267.00;;;1008,35
102.00;09.09.2016;3.00;;18,1;19,4;22,6;76,17;5,1;9,9;12433.00;;;1012,79
102.00;10.09.2016;3.00;;18.00;20,4;25.00;72,58;3.00;7,6;10917.00;;;1012,01
102.00;11.09.2016;3.00;;17,7;18,5;20,6;74,38;5,1;10.00;3683.00;;;1013,75
102.00;12.09.2016;3.00;;18,2;21,7;26,4;73,79;5,5;9,2;12,05;;;1013,91
102.00;13.09.2016;3.00;;20,8;24,2;29,6;63,46;7,7;10,8;11,6;;;1012,12
102.00;14.09.2016;3.00;;19,7;22,7;27,5;70,88;9,1;12.00;11,65;;;1011,99
102.00;15.09.2016;3.00;;18,6;21,5;24,9;65,08;9,7;13,2;12217.00;;;1010,5
102.00;16.09.2016;3.00;;17,1;18,7;19,8;77,96;5,1;10,7;2833.00;;;1008,3
102.00;17.09.2016;3.00;;17,1;18,9;20,8;80,88;6,8;12,7;4,55;;;1012,52
102.00;18.09.2016;3.00;;15,7;16,8;18,8;71,42;8,7;13,2;7067.00;;;1015,07
102.00;19.09.2016;3.00;;15,8;16,6;18,5;63,48;5,5;10,2;8033.00;;;1016,26
102.00;20.09.2016;3.00;;15.00;16,5;19,6;64,54;4,3;7,1;3417.00;;;1016,83
102.00;21.09.2016;3.00;;16,3;17,4;18,8;69,13;3,3;7,2;7867.00;;;1017,12
102.00;22.09.2016;3.00;;15,2;17,5;19,6;72,42;4,2;8.00;8283.00;;;1016,97
102.00;23.09.2016;3.00;;15,1;17.00;18.00;72.00;7,2;12,4;6317.00;;;1018,33
102.00;24.09.2016;3.00;;14,2;16,8;20.00;71,33;6,2;10,3;9517.00;;;1018,82
102.00;25.09.2016;3.00;;15,9;18,5;22,6;70,5;8,4;12,8;11167.00;;;1013,66
102.00;26.09.2016;3.00;;16,3;17,7;19,9;68,17;3.00;8,2;9217.00;;;1018,95
102.00;27.09.2016;3.00;;15,9;17,6;20,1;67,71;5,5;16,6;10633.00;;;1020,52
102.00;28.09.2016;3.00;;16,4;17,5;18,5;78,29;14,5;21,4;3617.00;;;1014,22
102.00;29.09.2016;3.00;;12,5;16,6;17,7;84,67;14,8;25,3;0,033;;;1006,02
102.00;30.09.2016;3.00;;12,8;15,1;17.00;70,46;11,1;18,8;5,7;;;1006,54
102.00;01.10.2016;3.00;;12,7;14,4;15,9;77,13;5,9;11,8;3567.00;;;1004,84
102.00;02.10.2016;3.00;;10,8;13.00;14,3;79,17;6,8;13,3;6,85;;;1005,33
102.00;03.10.2016;3.00;;12,6;14,2;15,4;80,26;9,5;16,3;3017.00;;;1020,09
102.00;04.10.2016;3.00;;11,9;13,4;15,5;74,26;11.00;16,7;9933.00;;;1032,75
102.00;05.10.2016;3.00;;9,8;11,2;12,7;64,88;10,4;14,9;9317.00;;;1032,07
102.00;06.10.2016;3.00;;9,7;11.00;12,2;72,58;11,5;15,8;0,233;;;1023,43
102.00;07.10.2016;3.00;;10,8;11,7;12,8;77,29;9,2;13,9;0.00;;;1020,13
102.00;08.10.2016;3.00;;10,2;11,3;12,5;67,83;7,9;12,5;4783.00;;;1021,7
102.00;09.10.2016;3.00;;9,1;10,1;11.00;74.00;5,7;11.00;0.00;;;1021,18
102.00;10.10.2016;3.00;;9,6;10,6;12.00;78,88;3,9;12,8;1917.00;;;1020,67
102.00;11.10.2016;3.00;;9,7;10,5;11,3;89,38;12,2;17,3;0,4;;;1019,01
102.00;12.10.2016;3.00;;8,9;10.00;11,1;80,33;11.00;19.00;2683.00;;;1019,82
102.00;13.10.2016;3.00;;7,5;8,8;10,1;77,54;10,2;16,9;0,2;;;1017,93
